iter	PRAUC	Logloss
0	0.8676933195	0.6653785543
1	0.8759001888	0.6420559331
2	0.8812671298	0.6209890951
3	0.8834892293	0.6032719251
4	0.8888255111	0.586996454
5	0.8887630395	0.5731980601
6	0.891737563	0.5599166721
7	0.89188103	0.5468874439
8	0.8941204265	0.5364246074
9	0.8943714767	0.5266659129
10	0.8947617825	0.5171466379
11	0.8961157435	0.5084163567
12	0.897025517	0.5006223237
13	0.8983784096	0.494301262
14	0.8999383414	0.4883184778
15	0.9003987771	0.481908782
16	0.9009467005	0.4766575758
17	0.9012319217	0.4725802934
18	0.9016700382	0.4680214603
19	0.9022301733	0.4635262189
20	0.9023972681	0.4602648185
21	0.9029844543	0.4564490749
22	0.9033272349	0.4532026587
23	0.9041914053	0.4493592956
24	0.9052253092	0.4456738608
25	0.9075164196	0.4400964132
26	0.9097695697	0.4350236704
27	0.9118417723	0.4299891522
28	0.9136850543	0.4248680449
29	0.9157426068	0.4199336673
30	0.9173770736	0.4157508109
31	0.9185248408	0.4123806906
32	0.9195722435	0.4091046023
33	0.9207017013	0.4056276732
34	0.9210631239	0.4040881832
35	0.9222183656	0.4007007722
36	0.9227383173	0.3985594207
37	0.9230769015	0.3971856163
38	0.9235634283	0.3956041994
39	0.9239717581	0.3941984331
40	0.9244523924	0.3929308239
41	0.9251517161	0.3910010945
42	0.9257515634	0.3888684087
43	0.9263842943	0.3867399331
44	0.9273882833	0.3839579874
45	0.9285995587	0.380674566
46	0.9289201556	0.3791485134
47	0.9293772802	0.3780407202
48	0.9296068843	0.3773950014
49	0.9298728768	0.3765056411
50	0.9305537976	0.3744847924
51	0.9307362797	0.3734273617
52	0.9309169048	0.3723853232
53	0.9310417533	0.3714655782
54	0.9314029898	0.3702923772
55	0.9316647955	0.369449299
56	0.9318883826	0.3684052251
57	0.9322048799	0.3675899578
58	0.9323749181	0.3668642911
59	0.9325628066	0.3661631077
60	0.9329249783	0.3653534681
61	0.9333432605	0.3638993594
62	0.9334820172	0.3633582444
63	0.9336480901	0.3628304832
64	0.934109435	0.3613344906
65	0.9346434724	0.3598483641
66	0.934833943	0.3591879567
67	0.9350156159	0.3585700532
68	0.9352703345	0.3578303099
69	0.9354475819	0.357200937
70	0.9355755872	0.3567536903
