iter	Passed	Remaining
0	571	1714191
1	984	1475989
2	1437	1435966
3	1844	1381687
4	2281	1366601
5	2697	1345892
6	3132	1339375
7	3579	1338877
8	4011	1333264
9	4443	1328679
10	4880	1326275
11	5453	1357970
12	6124	1407213
13	6734	1436281
14	7335	1459701
15	7965	1485529
16	8600	1509169
17	9198	1523933
18	9828	1541986
19	10441	1555779
20	11048	1567356
21	11706	1584701
22	12293	1591215
23	12910	1600872
24	13523	1609315
25	14454	1653369
26	15392	1694866
27	16335	1733851
28	17139	1755934
29	17930	1775119
30	18719	1792887
31	19569	1815053
32	20383	1832682
33	21182	1847879
34	21758	1843247
35	22415	1845559
36	23311	1866786
37	23907	1863517
38	24513	1861153
39	25086	1856434
40	25683	1853594
41	26270	1850163
42	26999	1856704
43	27692	1860429
44	28304	1858678
45	29221	1876532
46	30218	1898623
47	30783	1893177
48	31310	1885657
49	31822	1877551
50	32384	1872593
51	32864	1863146
52	33443	1859590
53	34029	1856486
54	34532	1849073
55	35069	1843650
56	35601	1838147
57	36090	1830671
58	36566	1822737
59	37020	1814023
60	37500	1806762
61	37962	1798921
62	38427	1791434
63	38888	1784019
64	39466	1782080
65	40257	1789624
66	40710	1782141
67	41142	1773976
68	41590	1766687
69	42041	1759757
70	42512	1753793
71	43241	1758490
72	43706	1752435
73	44262	1750182
74	44731	1744516
75	45208	1739347
76	45675	1733870
77	46139	1728464
78	46589	1722628
79	47042	1717053
80	47563	1714046
81	48196	1715084
82	48676	1710706
83	49125	1705360
84	49591	1700710
85	50044	1695678
86	50503	1691010
87	50963	1686433
88	51444	1682649
89	51891	1677810
90	52361	1673856
91	52824	1669723
92	53358	1667888
93	53825	1664017
94	54302	1660502
95	54782	1657176
96	55226	1652817
97	55653	1648019
98	56081	1643350
99	56514	1638921
100	57113	1639331
101	57570	1635669
102	58058	1632962
103	58497	1628921
104	58958	1625556
105	59400	1621732
106	60544	1636952
107	61119	1636640
108	61588	1633505
109	62062	1630558
110	62514	1627056
111	62966	1623646
112	63464	1621429
113	63941	1618717
114	64519	1618604
115	65110	1618782
116	65682	1618488
117	66367	1620946
118	66968	1621315
119	67471	1619304
120	68126	1620954
121	68736	1621502
122	69367	1622520
123	70157	1627197
124	70903	1630785
125	72117	1644958
126	72902	1649199
127	73955	1659381
128	74610	1660522
129	75280	1661959
130	76050	1665569
131	76936	1671611
132	77579	1672343
133	78319	1675098
134	78963	1675788
135	79608	1676460
136	80204	1676097
137	80918	1678182
138	81519	1677885
139	82118	1677560
140	82729	1677475
141	83386	1678309
