dimension,slice,count,fraud_rate,pr_auc,reliable,TP,TN,FP,FN,precision,recall,f1,accuracy
ProductCD,W,48089,0.02012934350891056,0.5357810353919907,True,925,27538,19583,43,0.0451043495221377,0.9555785123966942,0.08614267088843361,0.5918817193121088
ProductCD,C,6404,0.12539038101186759,0.8254626097024946,True,786,1996,3605,17,0.1790025051241175,0.9788293897882939,0.3026569118213323,0.4344159900062461
ProductCD,R,2059,0.055852355512384655,0.8628960322528667,True,114,1067,877,1,0.11503531786074672,0.991304347826087,0.20614828209764915,0.5735794074793589
ProductCD,H,1579,0.06776440785307157,0.7210787458018991,True,104,620,852,3,0.1087866108786611,0.9719626168224299,0.19567262464722485,0.4585180493983534
ProductCD,S,922,0.0737527114967462,0.8301062423689767,True,66,489,365,2,0.1531322505800464,0.9705882352941176,0.26452905811623245,0.6019522776572668
hour_bucket,evening,24346,0.03548837591390783,0.6673096644336451,True,833,12991,10491,31,0.07356057930060049,0.9641203703703703,0.13669182802756807,0.5678140146225252
hour_bucket,afternoon,18530,0.025418240690771723,0.6395488280331285,True,458,10351,7708,13,0.056086211119275045,0.9723991507430998,0.10605534329049439,0.5833243389098759
hour_bucket,night,13530,0.04042867701404287,0.7221033960883236,True,527,7007,5976,20,0.08103952022143626,0.9634369287020109,0.14950354609929078,0.5568366592756837
hour_bucket,morning,2647,0.06762372497166604,0.8921045810032332,True,177,1361,1107,2,0.1378504672897196,0.9888268156424581,0.24196855775803144,0.5810351341140915
card_tenure_bucket,new,14764,0.028921701435925224,0.7423211578980411,True,415,9982,4355,12,0.0870020964360587,0.9718969555035128,0.15970752357129114,0.7042129504199404
card_tenure_bucket,mid_1,14763,0.038745512429722954,0.6763069438276771,True,551,7745,6446,21,0.07874803487208804,0.9632867132867133,0.14559386973180077,0.5619454040506672
card_tenure_bucket,established,14763,0.03474903474903475,0.6104278912951607,True,488,7493,6757,25,0.0673567977915804,0.9512670565302144,0.12580562000515597,0.5406082774503828
card_tenure_bucket,mid_2,14763,0.03718756350335298,0.7519392693183338,True,541,6490,7724,8,0.06545674531155475,0.9854280510018215,0.12275924665305198,0.47625821310031835
